 Salary,BattingAverage,OBP,runs,hits,doubles,triples,HRS,RBI,walks ,strikeouts,stolenBases,errors,IsFreeAgent,IsFreeAgent92,arbitration,arbitration92
3300,272,302,69,153,21,4,31,104,22,80,4,3,1,0,0,0
2600,269,335,58,111,17,2,18,66,39,69,0,3,1,1,0,0
2500,249,337,54,115,15,1,17,73,63,116,6,5,1,0,0,0
2475,260,292,59,128,22,7,12,50,23,64,21,21,0,0,1,0
2313,273,346,87,169,28,5,8,58,70,53,3,8,0,0,1,0
2175,291,379,104,170,32,2,26,100,87,89,22,4,1,0,0,0
600,258,370,34,86,14,1,14,38,15,45,0,10,1,0,0,0
460,228,279,16,38,7,2,3,21,11,32,2,3,0,0,0,0
240,250,327,40,61,11,0,1,18,24,26,14,2,0,0,0,0
200,203,240,39,64,10,1,10,33,14,96,13,6,0,0,0,0
177,262,283,7,38,5,0,0,10,5,18,2,7,0,0,0,0
140,222,307,21,45,9,0,6,22,19,56,3,3,0,0,0,0
117,227,280,4,5,2,0,1,3,2,1,0,0,0,0,0,0
115,261,370,1,6,0,0,0,2,4,3,0,0,0,0,0,0
2600,300,368,69,141,22,3,19,75,53,64,31,7,1,0,0,0
1907,225,292,60,130,22,1,13,73,50,100,2,14,1,0,0,0
1190,255,321,39,108,22,8,3,26,42,61,2,8,0,0,1,0
990,290,349,59,141,30,2,16,64,42,102,14,6,1,0,0,0
925,246,323,22,81,14,0,6,26,22,26,2,5,1,0,0,0
365,208,265,12,35,11,1,0,15,14,30,2,6,0,0,0,0
302,238,347,83,134,15,4,10,51,95,151,56,27,0,0,0,0
300,267,310,73,149,23,9,6,39,34,89,76,6,0,0,0,0
129,353,435,16,48,12,2,2,18,20,22,0,5,0,0,0,0
111,213,222,4,13,4,1,1,8,1,18,0,0,0,0,0,0
6100,302,391,102,174,44,6,18,100,90,67,2,15,1,1,0,0
4125,260,321,69,150,23,1,19,96,55,74,10,7,1,1,0,0
3213,255,347,45,71,7,5,1,17,39,47,37,3,1,0,0,0
2319,259,349,108,146,34,4,38,117,78,120,30,31,1,0,0,0
2000,223,307,43,84,10,4,10,40,36,56,7,4,1,0,0,0
1600,225,310,44,96,9,3,0,31,50,69,8,15,1,1,0,0
1394,258,381,58,108,23,0,4,51,83,50,1,5,1,0,0,0
935,275,351,40,70,16,4,4,21,30,42,15,3,1,1,0,0
850,327,424,60,141,14,3,0,54,75,38,4,20,1,1,0,0
775,272,300,18,62,14,2,5,35,9,19,0,3,0,0,1,0
760,241,320,33,84,16,2,6,36,40,53,2,14,0,0,1,1
629,293,355,32,79,17,0,1,30,24,43,2,0,0,0,0,0
275,257,315,51,96,10,1,6,34,33,57,13,8,0,0,0,0
120,225,330,7,20,2,0,0,5,14,19,1,2,0,0,0,0
2567,196,297,36,56,12,0,12,42,41,66,5,8,0,0,1,0
2500,252,309,66,137,33,1,28,81,48,93,1,5,1,0,0,0
2350,294,367,84,158,27,6,21,92,67,100,7,3,1,0,0,0
2317,297,391,48,73,13,5,3,12,37,20,24,4,1,0,0,0
2000,258,288,46,86,7,4,12,40,12,57,5,9,1,1,0,0
715,205,268,21,36,5,3,1,11,16,36,7,3,1,0,0,0
660,272,304,38,82,21,3,9,49,14,49,0,9,0,0,1,0
650,243,344,20,45,12,0,0,15,30,30,3,4,1,0,0,0
260,337,413,13,32,5,0,0,12,13,14,0,0,0,0,0,0
250,228,238,12,36,4,1,1,11,2,26,0,2,0,0,0,0
200,240,300,51,92,16,3,13,50,31,73,9,3,0,0,0,0
180,298,378,18,45,10,2,6,21,17,26,1,8,0,0,0,0
180,249,313,38,81,11,4,1,20,29,45,13,6,0,0,0,0
5150,292,410,95,149,28,5,25,116,107,73,43,3,0,0,1,0
4450,265,355,87,130,24,7,17,83,71,85,10,1,1,0,0,0
2000,265,306,53,133,16,6,3,54,30,56,7,9,0,0,1,1
1850,289,351,25,97,11,2,3,41,33,27,2,1,1,1,0,0
1192,295,363,19,65,17,1,1,29,21,32,1,5,1,0,0,0
875,270,330,96,164,32,8,16,67,52,99,10,24,0,0,1,1
825,246,324,45,62,12,2,7,24,28,39,17,6,1,0,0,0
525,288,366,24,47,7,0,7,24,18,23,2,3,0,0,0,0
367,273,344,23,51,11,2,4,23,19,34,9,1,0,0,0,0
325,239,328,16,26,1,1,4,18,14,15,3,2,0,0,0,0
320,244,281,7,20,4,0,1,11,5,17,4,2,0,0,0,0
150,275,373,83,113,17,2,10,50,64,81,8,12,0,0,0,0
113,340,381,15,36,7,0,0,7,7,17,3,6,0,0,0,0
113,250,280,2,6,0,2,0,1,1,8,0,1,0,0,0,0
2425,272,326,41,116,12,1,8,70,37,46,4,16,1,1,0,0
2367,219,268,34,82,13,2,9,33,23,86,5,9,1,0,0,0
2050,240,357,37,88,11,4,1,26,67,48,1,9,1,0,0,0
2000,285,380,96,157,30,3,3,50,83,36,35,8,1,0,0,0
1617,307,368,55,100,16,5,6,34,32,53,16,2,1,0,0,0
1167,240,300,29,58,8,4,6,36,22,34,15,5,1,0,0,0
992,264,319,38,121,24,5,2,57,36,63,9,7,0,0,1,0
400,227,260,21,47,10,2,1,15,10,29,12,2,0,0,0,0
315,305,360,69,173,40,6,8,77,50,113,20,3,0,0,0,0
315,280,353,76,158,36,3,11,81,62,94,17,25,0,0,0,0
230,251,301,83,142,23,15,9,69,41,114,44,6,0,0,0,0
135,216,316,28,58,7,2,5,28,39,33,14,1,0,0,0,0
130,243,322,38,45,8,3,5,17,18,45,15,6,0,0,0,0
3150,319,363,94,187,34,8,22,86,43,70,10,24,1,0,0,0
2785,297,371,81,119,10,1,0,26,47,40,72,3,1,1,0,0
2700,251,338,101,141,35,3,32,105,71,104,34,6,0,0,1,0
2400,253,313,32,67,12,0,11,45,25,31,0,3,1,0,0,0
1750,275,377,58,97,19,1,7,44,50,64,9,5,1,0,0,0
1262,320,368,41,98,17,2,3,32,23,19,2,15,0,0,1,0
940,259,358,49,91,14,3,11,54,54,59,5,17,0,0,1,0
555,275,377,67,109,25,1,21,87,65,81,8,7,0,0,0,0
500,249,296,36,88,9,2,0,27,22,63,3,18,0,0,1,0
370,188,243,13,30,7,0,5,14,11,42,1,8,0,0,1,0
350,241,316,46,99,25,0,6,44,44,48,1,4,0,0,0,0
148,242,284,7,23,6,0,4,23,6,20,1,3,0,0,0,0
146,251,296,32,68,16,1,12,50,17,48,0,8,0,0,0,0
4350,302,378,88,140,27,4,20,69,55,64,24,15,1,0,0,0
2833,280,359,51,101,12,2,6,35,46,39,5,7,1,0,0,0
2833,256,346,71,136,36,0,28,91,73,107,12,2,0,0,1,0
2750,301,354,91,175,35,3,26,88,44,79,19,12,0,0,1,0
1550,281,342,66,119,13,3,3,32,37,71,26,10,0,0,1,0
1300,234,301,13,36,5,0,6,19,16,39,0,6,0,0,1,0
1000,260,323,36,65,10,0,11,39,23,46,11,5,0,0,1,1
750,267,321,20,72,15,2,3,31,23,38,0,5,0,0,0,0
430,318,374,72,152,33,1,14,59,46,61,10,9,0,0,0,0
260,216,265,21,58,11,0,11,41,18,53,0,11,0,0,0,0
120,286,303,11,18,1,0,0,3,1,15,1,2,0,0,0,0
1500,253,312,65,145,30,3,13,80,46,85,4,23,0,0,1,0
1458,295,358,79,161,23,4,4,46,53,71,19,11,0,0,1,0
1210,285,331,84,170,28,10,8,54,42,65,34,5,0,0,1,0
935,262,319,44,121,20,7,4,50,40,49,9,10,0,0,0,0
800,214,290,38,72,12,1,11,38,36,92,1,3,1,1,0,0
395,218,327,26,31,3,1,1,11,24,17,16,0,0,0,0,0
350,294,387,79,163,26,4,15,82,75,116,7,12,0,0,0,0
285,254,320,51,120,28,9,13,69,40,101,10,5,0,0,0,0
139,243,270,27,61,13,2,9,36,9,74,4,18,0,0,0,0
133,153,227,11,18,6,0,1,7,12,41,1,1,0,0,0,0
4050,265,361,86,134,22,4,28,99,75,125,10,5,1,0,0,0
3600,235,353,39,67,10,0,11,33,48,92,14,3,1,0,0,0
3333,296,401,112,182,13,5,2,38,108,79,38,0,1,0,0,0
2183,264,353,39,91,16,2,8,40,47,32,4,7,1,0,0,0
1150,294,338,29,86,15,3,2,40,17,46,2,3,1,0,0,0
840,287,349,59,123,16,1,3,38,37,32,12,20,1,0,0,0
587,278,355,24,60,11,2,2,20,25,24,1,4,0,0,1,0
